text,sentiment,model,topic,cleaned
"@JamesMassard Two Sinovac last year, then this booster, so #3. Not getting a #4.",,cnn-lstm,sinovac,sinovac last year booster leave
@aftergI0ws oh yeah that’s why. almost everyone i know got side effects from the booster when their first two doses were sinovac. i didn’t get any side effects from my booster bc i was astra the first time,,cnn-lstm,sinovac,yeah almost everyone know get side effect booster first dos sinovac leave side effect booster astra first time
@aftergI0ws were you sinovac the first time?,,cnn-lstm,sinovac,sinovac first time
"@ayshardzn Generally 7-9 months from second dose. 

Malaysia requiring boosters for senior citizen / Sinovac or Sinopharm travelers regardless of when they took their second dose before entering 🇲🇾? 

So if an above-60 American got second dose just a month before departure, can’t visit 🇲🇾?",,cnn-lstm,sinovac,generally month second dose malaysia require booster senior citizen sinovac sinopharm traveler regardless take second dose enter american get second dose month departure visit
"RT @nytimesworld: The results highlighted the urgency for mainland China to accelerate its lagging booster campaign, health experts said. J…",,cnn-lstm,sinovac,result highlight urgency mainland china accelerate lag booster campaign health expert say
"RT @WilliamYang120: Additionally, a study released by scientists at HKU this week shows that two doses of China's Sinovac vaccines offer on…",,cnn-lstm,sinovac,additionally study release scientist hku week show dos china sinovac vaccine offer
"Additionally, a study released by scientists at HKU this week shows that two doses of China's Sinovac vaccines offer only a moderate level of protection against severe symptoms or death caused by coronavirus infection while a booster shot can enhance the protection significantly.",,cnn-lstm,sinovac,additionally study release scientist hku week show dos china sinovac vaccine offer moderate level protection severe symptom death cause coronavirus infection booster shot enhance protection significantly
"Hi ASEAN family

#NewsFromMalaysia🇲🇾

Khairy also mentioned that both the Malaysian &amp; Singapore governments have agreed that Sinovac recipients must get three vaccine doses to maintain their fully vaccinated status.🇲🇾

📄@malaymail 
 
#Malaysia #Covid19 #Vaccines #Endemic #Khairy https://t.co/op5gc6PmRU",,cnn-lstm,sinovac,asean family khairy also mention malaysian singapore government agree sinovac recipient must get vaccine dos maintain fully vaccinate status
"@Ana_KRamirez @Sinovac @Presidencia_Ec @Vice_Ec @Salud_Ec @ARCSA_CZ9 @ARCSA_CZ8 @ARCSA_CZ5 @ARCSA_CZ7 @ARCSA_CZ3 @ARCSA_CZ4 @ARCSA_CZ1 China will integrate freedom and democracy, simplify English, unite all countries to be United States of World.
Females will lead world.
Big Bang hypothesis will be overturned……

20 World Trends:
https://t.co/lwZDpaxtaO",,cnn-lstm,sinovac,china integrate freedom democracy simplify english unite country united state world female lead world big bang hypothesis overturn world trend
"Hi ASEAN Family

#NewsFromPhilippines🇵🇭

Sinovac’s #COVID19 vaccine was found to be safe &amp; effective against COVID-19 infection &amp; could provide protection against Delta &amp; Omicron variants to children as young as 3 years old.🇵🇭

📄@inquirerdotnet

#Vaccine

https://t.co/NWQKUNFhS9 https://t.co/ZYFOZcNoE3",,cnn-lstm,sinovac,asean family sinovacs vaccine found safe effective covid infection could provide protection delta omicron variant child young year old
"With recent surges in #China, concerns have arisen about potential high death rates particularly among the elderly. Since most of the population is vaccinated with #Sinovac and #Sinopharm which have shown to be less effective against #Omicron, vulnerable populations are at risk. https://t.co/SMmzo2WY16",,cnn-lstm,sinovac,recent surge concern arisen potential high death rate particularly among elderly since population vaccinate show less effective vulnerable population risk
"Some 2 million Sinovac recipients are at risk of losing their fully vaccinated status if they don't get the booster shot by next Thursday. 

@Khairykj says both the Msian and S'porean govts have agreed that Sinovac recipients must receive 3 doses to be considered fully vaccinated https://t.co/dh7ZYy7pZH",,cnn-lstm,sinovac,sinovac recipient risk lose fully vaccinate status leave booster shot next thursday say msian sporean govts agree sinovac recipient must receive dos consider fully vaccinate
"VE = Vaccine Effectiveness against death

Data is based on age 80+ vaccination data up to March 24 20:00, age 80+ deaths during 5th wave up to March 24 00:00, all provided by the CHP

(And, no, I don’t have the latest Sinovac/BioNTech data)",,cnn-lstm,sinovac,vaccine effectiveness death data base age vaccination data march age death wave march provide chp refuse late sinovacbiontech data
"Weird if 🇲🇾 is imposing 3-dose requirement on primed Sinovac travellers and travellers aged 60 years and above. 

Even 🇸🇬 uses standard 2 doses across all double-dose vaccines for quarantine-free entry into Singapore. 

Haven’t heard of any country requiring 3 doses for travel. https://t.co/hT3exoNws0 https://t.co/JV2TKJq8bs",,cnn-lstm,sinovac,weird impose dose requirement prim sinovac traveller traveller age year even standard dos across doubledose vaccine quarantinefree entry singapore heard country require dos travel
"1. MySejahtera will soon be among the apps to be accepted by the European Union as proof of vaccination.

However, Health Minister Khairy Jamaluddin says he will seek further clarification from the EU delegation in Malaysia on Sinovac not being recognised by some member states. https://t.co/g3Ms09UJhF",,cnn-lstm,sinovac,mysejahtera soon among apps accepted european union proof vaccination however health minister khairy jamaluddin say seek clarification delegation malaysia sinovac nonbeing recognise member state
Sinovac recipient is not eligible to travel to Japan. Cry in silent,,cnn-lstm,sinovac,sinovac recipient ineligible travel japan cry silent
"About two million #Sinovac vaccine recipients are at risk of losing their fully vaccinated status on April 1, Health Minister Khairy Jamaluddin said. https://t.co/0ZM1HrbVOi",,cnn-lstm,sinovac,vaccine recipient risk lose fully vaccinate status april health minister khairy jamaluddin say
@bernamadotcom @Khairykj @KKMPutrajaya Doesn't make much sense for kkm to do that as kkm was the one that approved &amp; pushed the people to take sinovac as the primary vaccine!!! Were there many death cases due to Covid-19 for people who had taken sinovac as primary vaccines!!!,,cnn-lstm,sinovac,unmake much sense kkm kkm approve push people take sinovac primary vaccine many death case due covid people take sinovac primary vaccine
"Sinovac’s COVID-19 vaccine was found to be safe and effective against COVID-19 infection and could provide protection against the Delta and Omicron variants to children as young as 3 years old.

Read: https://t.co/szAmwROHHd https://t.co/2ySW98oLTw",,cnn-lstm,sinovac,sinovacs covid vaccine found safe effective covid infection could provide protection delta omicron variant child young year old read
"Two doses is considered as fully vaccinated, the booster shot is to continue protect from COVID-19
Why must we loose our fully vaccinated status??????

Covid-19: Two million Sinovac recipients set to lose fully vaccinated status, says KJ https://t.co/1zve4jWW2T",,cnn-lstm,sinovac,dos consider fully vaccinate booster shot continue protect covid must loose fully vaccinate status covid sinovac recipient set lose fully vaccinate status say
@staronline Why are you punishing sinovac recipients but not others? Are you saying others are immune?,,cnn-lstm,sinovac,punish sinovac recipient others say others immune
RT @jegathink: Two paths now laid in front of them. First go and retake the initial shots from 'approved' brands. Or see the demeaning natu…,,cnn-lstm,sinovac,path laid front first retake initial shot approve brand see demean natu
"RT @hildabast: ...For 2 inactivated vaxes (CoronaVac, Covaxin) immune response might be higher in kids; Soberana (protein subunit) might be…",,cnn-lstm,sinovac,inactivate vaxes coronavac covaxin immune response might high kid soberana protein subunit might
"@brianlian Yea… when’s my fourth dose..? If I were to even pay for my fourth dose, I can only get Sinovac.",,cnn-lstm,sinovac,yea fourth dose even pay fourth dose get sinovac
RT @JShijiu: @FalunSchlong Those who refused to mask up and fight vaccination along with other covid measures played an active role in kill…,,cnn-lstm,sinovac,refuse mask fight vaccination along covid measure played active role kill
@FalunSchlong Those who refused to mask up and fight vaccination along with other covid measures played an active role in killing elderlies in HK. Media who actively exaggerated side effects and degraded Sinovac’s high efficacy vs severe infections and deaths have blood on their hands too!,,cnn-lstm,sinovac,refuse mask fight vaccination along covid measure played active role kill elderly medium actively exaggerated side effect degrade sinovacs high efficacy severe infection death blood hand
"RT @aqilalmashoor: Sinovac tengah trending?? 

Tees with vaccine related brands are open for pre-order. 

#parodyartshirt https://t.co/FMvV…",,cnn-lstm,sinovac,sinovac tengah trend tee vaccine related brand open preorder
Sinovac’s COVID-19 vaccine was found to be safe and effective against COVID-19 infection and could provide protection against the Delta and Omicron variants to children as young as 3 years old. | @kdevillaINQ /PDI https://t.co/txWQWgcQSt,,cnn-lstm,sinovac,sinovacs covid vaccine found safe effective covid infection could provide protection delta omicron variant child young year old pdi
"Can the ministers (both Malaysian and Singaporean) please show us the science behind this decision? If you don't, I will assume you have been co-opted by the White supremacists.  https://t.co/wu9YxJn826",,cnn-lstm,sinovac,minister malaysian singaporean please show science behind decision assume coopted white supremacist
"@RavensVu Sinovac is none mrna, least immediate potential damage, long term effect unknown.",,cnn-lstm,sinovac,sinovac none mrna least immediate potential damage long term effect unknown
RT @JFernandeznino: Colombia has a very diverse portfolio of vaccines against covid. Esperanza  is one of the few cohort studies that evalu…,,cnn-lstm,sinovac,colombia diverse portfolio vaccine covid esperanza cohort study evalu
"RT @doug_picirillo: Sinovac Booster Gives Elderly Stronger Protection Against Omicron, Study Finds https://t.co/yqiyTY72LU via @UpshotNYT",,cnn-lstm,sinovac,sinovac booster give elderly strong protection omicron study find via
@daneesawadee Bitch I was dead. When I got my first and second jab (in which Sinovac) nothing happens. Then I took AZ as my booster and I was shook that it cost me a fever.,,cnn-lstm,sinovac,bitch dead get first second jab sinovac nothing happens take booster shook cost fever
"@Gab_H_R Does ""heterolygous booster campaign"" equate to ""send us something that isn't Sinovac""? 
  I don't envy China. They have a huge population to protect, and ""zero covid"" is a tough standard.",,cnn-lstm,sinovac,heterolygous booster campaign equate send something sinovac envy china huge population protect zero covid tough standard
"Sinovac Boosters Provide Key Protection for Older People, New Study Finds https://t.co/jU72wiWVYb Covid-19 #bioethics",,cnn-lstm,sinovac,sinovac booster provide key protection old people new study find covid
"RT @TC_Mogadishu: In the framework of ""15 million vaccine doses to Africa"", a donation program announced by H.E President @RTErdogan during…",,cnn-lstm,sinovac,framework vaccine dos africa donation program announce president
With a Boost: @nytimes reports that a booster dose of the Sinovac SARS-CoV-2 vaccine is highly effective at preventing severe or fatal disease among individuals 60 years old or older https://t.co/ZLFqFiztVa,,cnn-lstm,sinovac,boost report booster dose sinovac sarscov vaccine highly effective prevent severe fatal disease among individual year old old
"@staronline org xskolah pun tau sinovac xsteady .. made in china product.

now you just wasted everyone's time and they have go do it all over again.

but ko untunglah dpt kontrak/projek distributing vaccine .. boleh 2x untung",,cnn-lstm,sinovac,org xskolah pun tau sinovac xsteady make china product waste everyone time untunglah dpt kontrakprojek distribute vaccine boleh untung
@KKMPutrajaya What if I have take my Sinovac dose 2 at 2nd of april? Still partially vaccinated!?!?,,cnn-lstm,sinovac,take sinovac dose april still partially vaccinate
"@SingaporeAir Urgent: I will be flying to Slovenia coming Tuesday and transiting in Frankfurt. I am fully vaccinated with 2 doses of Sinovac and boosted with Pfzier vaccine. I will do a PCR test 48 hours before departure, will this be ok?",,cnn-lstm,sinovac,urgent fly slovenia come tuesday transit frankfurt fully vaccinate dos sinovac boost pfzier vaccine pcr test hour departure
"@chaiinspace @CameronWEF @chinadjr Yep, that's why lockdowns here continue, coz the vaccines don't work. They've stopped giving inactives sinovac but still have no mRNA. Even tho in October they said they did",,cnn-lstm,sinovac,yep lockdown continue coz vaccine idle stop give inactives sinovac still mrna even tho october say
"Er COVIDian sees something that isn't there -other than poor vaccine effectiveness of Sinovac?

And of course we could add Sweden nicely in the low-middle there

And even lower when all cause deaths are considered https://t.co/p4T6uyX6x2 https://t.co/9LDdEvaGET",,cnn-lstm,sinovac,covidian see something poor vaccine effectiveness sinovac course could add sweden nicely lowmiddle even low death consider
"@GopackgoGPG @DSlayer520 @fabtknz @Gab_H_R add in that sinovac etc aren't mRNA but attenuated virus, which is way less protective as one gets older.",,cnn-lstm,sinovac,add sinovac etc mrna attenuate virus way less protective get old
💡 What advantage did Brazil have on #COVID-19vaccine efforts? They already had extensive experience in vaccine production and were able to comply with partnerships to produce #AstraZenca and #Sinovac vaccines. Watch @claudia_trevis’s commentary #ACChinaLAC https://t.co/4BKKhdmodb,,cnn-lstm,sinovac,advantage brazil vaccine effort already extensive experience vaccine production able comply partnership produce vaccine watch commentary
"RT @inquirerdotnet: Sinovac’s vaccine, according to a recent study, gives children “mild or modest” protection against COVID-19 variants, a…",,cnn-lstm,sinovac,sinovacs vaccine accord recent study give child mild modest protection covid variant
"RT @tripperhead: ⚠️💉

New pop-up CVC at Caroline Hill Road in Causeway Bay to open March 29th.

Offering BioNTech vaccinations. Bookings op…",,cnn-lstm,sinovac,new popup cvc caroline hill road causeway bay open march offering biontech vaccination booking
@oltmannd @Gab_H_R Concerning to think what could happen in mainland China if Sinovac is part of what is causing the huge number of Hong Kong deaths. I haven’t seen good data on vaccine age coverage in China but one small study did show much lower uptake in 60+ people. https://t.co/KM4H31Is7z,,cnn-lstm,sinovac,concern think could happen mainland china sinovac part cause huge number hong kong death see good data vaccine age coverage china small study show much low uptake people
"Get vaccinated and be safe!💪
98% effective against severe illness and death! Latest data from Hongkong shows 3rd shot of #Sinovac has a clear benefit in protecting lives. Click to see more👇
https://t.co/M0T9clY0pL",,cnn-lstm,sinovac,get vaccinate safe effective severe illness death late data hongkong show shot clear benefit protect life click see
"@McDintosh @dr2red @AndersonAfDMdEP @JustinTrudeau The ones he had to scramble to get and overpay for. He originally tried to get us the completely ineffective Sinovac one until his Chinese buddies spanked him.

Always remember, he thought we were worth nothing but the very worst.",,cnn-lstm,sinovac,one scramble get overpay originally try get completely ineffective sinovac chinese buddy spank always remember thought worth nothing bad
@fabtknz @Gab_H_R Relatively high unvaxxed 65+. Sinovac not as good as mRNA.,,cnn-lstm,sinovac,relatively high unvaxxed sinovac good mrna
The recent news of the Malaysian brothers who had to take the next flight back home due to Sinovac as their vaccination is sad. 11 countries are not accepting. Let's see how long can they do this especially if that country does the Chinese tourist market. #sinovac #vaccination,,cnn-lstm,sinovac,recent news malaysian brother take next flight back home due sinovac vaccination sad country refuse let see long especially country chinese tourist market
With a Boost. The New York Times reports that a booster dose of the Sinovac SARS-CoV-2 vaccine is highly effective at preventing severe or fatal disease among individuals 60 years old or older. https://t.co/Q8zW7NJDMo,,cnn-lstm,sinovac,boost new york time report booster dose sinovac sarscov vaccine highly effective prevent severe fatal disease among individual year old old
"@lanewadsworth @BW TBF it wasn't a true ""Zero COVID"" approach of it didn't include aggressive vaccination, especially for the most vulnerable. And it doesn't help that Sinovac sucks.",,cnn-lstm,sinovac,tbf true zero covid approach exclude aggressive vaccination especially vulnerable help sinovac suck
RT @manilabulletin: The Sinovac-CoronaVac has been granted the emergency use authorization by the Food and Drug Administration for pediatri…,,cnn-lstm,sinovac,sinovaccoronavac grant emergency use authorization food drug administration pediatri
"The Sinovac-CoronaVac has been granted the emergency use authorization by the Food and Drug Administration for pediatric Covid-19 inoculation in the Philippines.

https://t.co/dGsFicWra6",,cnn-lstm,sinovac,sinovaccoronavac grant emergency use authorization food drug administration pediatric covid inoculation philippine
"@MarionKoopmans Not to mention there is this indirect effect: when you have a vaccine like Sinovac with extremely low efficacy against Omicron infections, there is higher chance of transmissions to the vulnerable folks.",,cnn-lstm,sinovac,mention indirect effect vaccine like sinovac extremely low efficacy omicron infection high chance transmission vulnerable folk
"@MarionKoopmans Nope.  Those with the 3rd dose were freshly boosted.  You’ll see Sinovac wanes much faster than BioNTech.  In a month or two, the discrepancy in VEs for 3 doses between the two vaccines would be like that for 2 doses!",,cnn-lstm,sinovac,nope dose freshly boost see sinovac wane much faster biontech month two discrepancy dos vaccine would like dos
im trying to see my skz trending but why is sinovac trending also 😭😭,,cnn-lstm,sinovac,try see skz trend sinovac trend also
"Could the problem - a chunk of it, at least - stem from the vaccines themselves?

Sinovac is not as effective as the other vaccines, yet the vast majority of those &gt;70 received it.

(It's also not as well respected, which might have generated some suspicion &amp; hesitancy.)

3/3 https://t.co/vPgsbbvq6F",,cnn-lstm,sinovac,could problem chunk least stem vaccine sinovac effective vaccine yet vast majority receive also well respect might generate suspicion hesitancy
@bencowling88 @tripperhead @kjoules @nathanhammond To do this you basically just make the value column or y-variable negative for Sinovac. If you’re using R’s ggplot2 as I suspect,,cnn-lstm,sinovac,basically make value column yvariable negative sinovac use ggplot suspect
RT @Zzy_Izzuddin: @Khairykj Kesian sinovac 2 dose jadi partially vaccinated,,cnn-lstm,sinovac,kesian sinovac dose jadi partially vaccinate
"Two million, mainly #Sinovac recipients, could lose fully #vaccinated status on April 1 https://t.co/AOSvMIUmk6 via @TheTrueNet
#thetruenet #NewsCurator #news #truenews #instanews #Socialmedia #reporting #contents #viral #media #facts #public #people #Boostershot #StayHealthy",,cnn-lstm,sinovac,million mainly recipient could lose fully status april via
@my_sejahtera What about tourist from 1st April ??? If they dont have Sinovac boster will they also be considered as not vacinated ?,,cnn-lstm,sinovac,tourist april refuse sinovac boster also consider vacinated
Sinovac is useless 😂 https://t.co/liR0YizwHH,,cnn-lstm,sinovac,sinovac useless
"About two million recipients of the Sinovac vaccine are set to lose their fully vaccinated status if they do not receive their boosters by April 1, said KJ. https://t.co/qV2E6IEnhb",,cnn-lstm,sinovac,recipient sinovac vaccine set lose fully vaccinate status sayfarewell booster april say
"@bencowling88 I've been playing around with these types of plots too. Here it is with Sinovac + BioNTech separated out. (But the logic of this plot is questionable for mixed vaccine schedules)
@tripperhead @kjoules @nathanhammond https://t.co/BN341FuoiB",,cnn-lstm,sinovac,play around type plot sinovac biontech separate logic plot questionable mixed vaccine schedule
RT @bencowling88: (17/15) We added this appendix figure showing the age-specific breakdown of BioNTech versus Sinovac doses administered ov…,,cnn-lstm,sinovac,add appendix figure show agespecific breakdown biontech versus sinovac dos administer
(17/15) We added this appendix figure showing the age-specific breakdown of BioNTech versus Sinovac doses administered over time (y-axis shows doses per 100 population) https://t.co/KDpfRHPoCX,,cnn-lstm,sinovac,add appendix figure show agespecific breakdown biontech versus sinovac dos administer time yaxis show dos per population
"Over 2mil Sinovac recipients to lose vaccination status next week, says KJ https://t.co/qAY5wjEuXj",,cnn-lstm,sinovac,mil sinovac recipient lose vaccination status next week say
"Are you one of the 2 million who will lose their fully vaccinated status on April 1?

https://t.co/6kuRRgWkOT https://t.co/v52Pq1dhQB",,cnn-lstm,sinovac,lose fully vaccinate status april
@AdornMeJewelry @DrLeanaWen @ShikhaJainMD Chinas problem is that they used sinovac (limited effectiveness vs mRNA) and they have failed to vaccinate their elderly + no immunity from prior infection exists in China. The mass lockdowns are showing the futility of zero covid.,,cnn-lstm,sinovac,china problem use sinovac limited effectiveness mrna fail vaccinate elderly susceptibility prior infection exists china mass lockdown show futility covid
@null Two million Sinovac recipients set to lose fully-vaxxed status on April 1 - Khai  https://t.co/ilBs9ZTe0R,,cnn-lstm,sinovac,sinovac recipient set lose fullyvaxxed status april khai
"RT @tanjooilong: Two mil Sinovac recipients sans boosters set to lose vaxxed status

@ahkmlog @aminherba @arifsetia2013d @ayg16 @billibear3…",,cnn-lstm,sinovac,mil sinovac recipient sans booster set lose vaxxed status
RT @GEanalyst: Many people like me already told the govt that Sinovac is not a good vaccine  with very low efficacy rate. I was told that s…,,cnn-lstm,sinovac,many people like already told govt sinovac good vaccine low efficacy rate told
Many people like me already told the govt that Sinovac is not a good vaccine  with very low efficacy rate. I was told that some one wants to make money out of this vaccine so the govt approved it. Blame MOH. https://t.co/bYNdOMUpn3,,cnn-lstm,sinovac,many people like already told govt sinovac good vaccine low efficacy rate told want make money vaccine govt approve blame moh
"RT @codebluenews: Khairy: Sinovac Recipients Need Booster To Visit Singapore Quarantine-Free

MOH projects two million Sinovac recipients t…",,cnn-lstm,sinovac,khairy sinovac recipient need booster visit singapore quarantinefree moh project sinovac recipient
"@Khairykj @yeobeeyin Simply a good business mind. Those who paid for Sinovac, would become partly vaccinated. Good move. Keep the wealth flowing",,cnn-lstm,sinovac,simply good business mind paid sinovac would become partly vaccinate good move keep wealth flow
"Khairy: Sinovac Recipients Need Booster To Visit Singapore Quarantine-Free

MOH projects two million Sinovac recipients to lose their fully vaccinated status on April 1 without a booster dose.

https://t.co/MHjN9ZiODR",,cnn-lstm,sinovac,khairy sinovac recipient need booster visit singapore quarantinefree moh project sinovac recipient lose fully vaccinate status april without booster dose
"@BW Excellent article. “Zero COVID” can’t work effectively against Omicron spread. Combine that fact with sinovac’s inferiority, and it’s clear China is facing a dark time.",,cnn-lstm,sinovac,excellent article covid idle effectively omicron spread combine fact sinovacs inferiority clear china face dark time
"RT @501Awani: #AWANITonight with @cynthiaAWANI

📌Two million Sinovac recipients stand to lose fully-vaxxed status

📌SOSMA rejection: Does i…",,cnn-lstm,sinovac,sinovac recipient stand lose fullyvaxxed status sosma rejection
"RT @venyabro1: @LandNoli 1. China is actively commiting genocide

2. China arrested journalists over the virus, arrests people for not doin…",,cnn-lstm,sinovac,china actively commit genocide china arrest journalist virus arrest people unmake
"RT @jojjeols: Chinese vaccines make up 60% of all doses administered on the age group 60+ in Hong Kong. Still, 87% of those who received at…",,cnn-lstm,sinovac,chinese vaccine make dos administer age group hong kong still receive
"#AWANITonight with @cynthiaAWANI

📌Two million Sinovac recipients stand to lose fully-vaxxed status

📌SOSMA rejection: Does it jeopardise govt-opposition MOU?

#AWANIEnglish #MalaysiaBangkit https://t.co/LdLfx9hLzN",,cnn-lstm,sinovac,sinovac recipient stand lose fullyvaxxed status sosma rejection jeopardise govtopposition mou
"Two million people will lose their ‘fully vaccinated’ status by next Friday (April 1) if they do not receive a Covid-19 booster shot.

Health Minister Khairy Jamaluddin says this figure includes all senior citizens above 60 years old and Sinovac recipients over 18 years old. https://t.co/euL1lCnuIX https://t.co/BVrn6XoUCN",,cnn-lstm,sinovac,people lose fully vaccinate status next friday april sayfarewell covid booster shot health minister khairy jamaluddin say figure include senior citizen year old sinovac recipient year old
@chastdove Ngga La first and second I had sinovac,,cnn-lstm,sinovac,ngga first second sinovac
KJ to seek clarification over Sinovac recipients unrecognised in EU https://t.co/trqEipC8eM,,cnn-lstm,sinovac,seek clarification sinovac recipient unrecognised
@amirulbahri @adibahnoor if Sinovac affect 18 thn keatas yer https://t.co/0ETu77Jd6t,,cnn-lstm,sinovac,sinovac affect thn keatas yer
@JakubHenricus @CarlZha are you stupid? antibodies arent the same as effectiveness vs virus. HK is a real life case that shows that effectiveness is largely the same between sinovac and western vacs. stop promoting this antivax bs,,cnn-lstm,sinovac,stupid antibody effectiveness virus real life case show effectiveness largely sinovac western vac stop promote antivax
"Two million, mainly Sinovac recipients set to lose fully vaccinated status on April 1 https://t.co/f8CPhOBHYT",,cnn-lstm,sinovac,million mainly sinovac recipient set lose fully vaccinate status april
"Sinovac recipients, take note!

https://t.co/1csq0igyA2",,cnn-lstm,sinovac,sinovac recipient take note
"RT @jenggaroo333: ""A Sinovac booster shot helped considerably, proving to be 98 percent effective against severe or fatal Covid among peopl…",,cnn-lstm,sinovac,sinovac booster shot help considerably prove percent effective severe fatal covid among peopl
"@staronline @Khairykj This is injustice. They were offered Sinovac (not of their choice...) After taking 2 doses, with all the hype in the media regarding the safety of vaccines &amp; now being 'punished' for not taking the booster.",,cnn-lstm,sinovac,injustice offer sinovac choice take dos hype medium regard safety vaccine punish refuse booster
Vaccine Experts Panel head Dr Gloriani says they are ready to amend recommendations on Sinovac  jabs for pediatric age. #COVID19 @MalayaNews https://t.co/R4FassvtKz,,cnn-lstm,sinovac,vaccine expert panel head gloriani say ready amend recommendation sinovac jab pediatric age
"RT @hildabast: Sinovac's CoronaVac: still showing immune responses to original, Alpha, Beta &amp; Gamma in 53 vaxed people's blood studied up t…",,cnn-lstm,sinovac,sinovac coronavac still show immune response original alpha beta gamma vaxed people blood study
@malaymail Im really curious if anyone has done any real studies on sinovac before judging it. Are you guys saying other vax are better? Come on. Why not show us the real stats of which recipients are really getting more sick or have higher mortality rate.,,cnn-lstm,sinovac,really curious anyone real study sinovac judging guy say vax well come hide real stats recipient really get sick high mortality rate
Two million Sinovac recipients set to lose fully-vaxxed status on April 1 - Khairy https://t.co/HmCgHonkQ1 https://t.co/uLaq1AGuGl,,cnn-lstm,sinovac,sinovac recipient set lose fullyvaxxed status april khairy
"From the last update I saw around 
- 700k+ elderly
- 2 million people who took Sinovac 

Have yet to take their booster jab which means 2.7 million at risk to lose their Fully Vaccinated status by coming April 1st

Do encourage people in those groups to take booster shot ASAP :) https://t.co/nhHT3gWeaO",,cnn-lstm,sinovac,last update saw around elderly people take sinovac yet take booster jab mean risk lose fully vaccinate status come april encourage people group take booster shot asap
"Sinovac Booster Gives Elderly Stronger Protection Against Omicron, Study Finds  Given the surge of Omicron cases in Asia, the new research lends urgency to vaccination campaigns https://t.co/XhuA224TeR https://t.co/aT7U8amJJC",,cnn-lstm,sinovac,sinovac booster give elderly strong protection omicron study find give surge omicron case asia new research lends urgency vaccination campaign
"@elly1407 @staronline @DGHisham @Khairykj Countries that do not hv good relationship with China in politics do not recognised sinovac. When Medicine becomes politic tools, lives are gamble.",,cnn-lstm,sinovac,country good relationship china politics recognise sinovac medicine becomes politic tool life gamble
Selangor Journal | KJ: Two million Sinovac recipients set to lose fully-vaxxed status on April 1 https://t.co/FlhJpqTIR6 https://t.co/wgemMzJyVb,,cnn-lstm,sinovac,selangor journal sinovac recipient set lose fullyvaxxed status april
"RT @bytebot: Malaysia and Sinovac…

10 million people took the Sinovac primary vaccination. 10 MILLION. 

Jan 14 2022: 4.8 million didn’t g…",,cnn-lstm,sinovac,malaysia sinovac people take sinovac primary vaccination million jan
"Khairy also mentioned that both the Malaysian and Singapore governments have agreed that Sinovac recipients must get three vaccine doses to maintain their fully vaccinated status.
 
#Malaysia #News #Covid19 #Vaccines #Endemic #Khairy https://t.co/WUZLrBXs72",,cnn-lstm,sinovac,khairy also mention malaysian singapore government agree sinovac recipient must get vaccine dos maintain fully vaccinate status
"2 million people in #Malaysia expected to lose their “fully vaccinated”status on April 1, said Health Minister 
The projected figure involves #Sinovac recipients who previously was vaccinated but failed to get booster shot before end of this month.

https://t.co/GEXlIvJ5cK",,cnn-lstm,sinovac,people expect lose fully vaccinatedstatus april say health minister project figure involves recipient previously vaccinate fail get booster shot end month
Khairy: Sinovac Recipients Need Booster To Visit Singapore Quarantine-Free https://t.co/MHjN9ZzRFR,,cnn-lstm,sinovac,khairy sinovac recipient need booster visit singapore quarantinefree
RT @fifiisaac: @KKMPutrajaya Why Sinovac recipients is forced and treated differently? RIP public health democracy,,cnn-lstm,sinovac,sinovac recipient force treat differently rip public health democracy
"@hcikl Hi Good day, India allow Malaysian visitors who vaccinated with Sinovac 2 doses (or with Sinovac Booster)?",,cnn-lstm,sinovac,good day india allow malaysian visitor vaccinate sinovac dos sinovac booster
"@VOAChinese They should face the truth if they want to learn from HK: Per figures, 70% dead were not vaccinated; those dead but vaccinated *87%* had SINOVAC, not Biontech or others - 2022.3.20 Ming Pao https://t.co/4CHiByAsKG",,cnn-lstm,sinovac,face truth want learn per figure dead vaccinate dead vaccinate sinovac biontech others ming pao
"@jcbarret Estimates of Sinovac effectiveness against Omicron. Even if these estimates err on the high side, it looks safe to conclude it provides at least good protection against severe disease. 
https://t.co/EI3f1n1NcW",,cnn-lstm,sinovac,estimate sinovac effectiveness omicron even estimate err high side look safe conclude provide least good protection severe disease
"@jcbarret Why is it risky? Sinovac, made with the original virus, still protects well against severe disease caused by Omicron. With future boosters to different variants, protection against severe disease will likely high, even if protection from infection falls a lot with a new variant.",,cnn-lstm,sinovac,risky sinovac make original virus still protects well severe disease cause omicron future booster different variant protection severe disease likely high even protection infection fall lot new variant
RT @msianinsight: 2 million Sinovac recipients not boosted to lose vaccinated status on April 1 https://t.co/hc5lW0c7t4,,cnn-lstm,sinovac,sinovac recipient boost lose vaccinate status april
@BorneoBah @tanjooilong @ahkmlog @aminherba @arifsetia2013d @ayg16 @broz6969 @CelineYeoh8888 @FranticKL @GEanalyst @imfsea_aruna @LowElsielow @mikichoo @NonVitalTooth @skumar176 @yvonneAPY 2 millions vaccinated with sinovac can sue him if they are denied of any public accesses and citizens rights?! It is the government’s decision to force them being vaccinated with the sinovac. And there is No laws passed by Parliament on this yet!,,cnn-lstm,sinovac,million vaccinate sinovac sue deny public access citizen right government decision force vaccinate sinovac law pass parliament yet
"So for Sinovac, 4 dose for boosted?? https://t.co/3cOcfrGuVe",,cnn-lstm,sinovac,sinovac dose boost
